dates,files,dates,datesstring,mean temperature (celsius),cloudcover (0-1)
2015-01-30,LC08_199024_20150130.tif,2015-01-30,2015/01/30,0.692063570022583,0.18720901093393477
2015-02-08,LC08_198024_20150208.tif,2015-02-08,2015/02/08,4.709282398223877,0.54982590115934
2015-02-15,LC08_199024_20150215.tif,2015-02-15,2015/02/15,8.053592681884766,0.033359052480249014
2015-02-24,LC08_198024_20150224.tif,2015-02-24,2015/02/24,3.799532175064087,0.9990899378783682
2015-03-12,LC08_198024_20150312.tif,2015-03-12,2015/03/12,14.35009479522705,0.005743942811168704
2015-03-19,LC08_199024_20150319.tif,2015-03-19,2015/03/19,,1.0
2015-04-04,LC08_199024_20150404.tif,2015-04-04,2015/04/04,,1.0
2015-04-13,LC08_198024_20150413.tif,2015-04-13,2015/04/13,4.7343597412109375,0.9999670267347235
2015-04-20,LC08_199024_20150420.tif,2015-04-20,2015/04/20,22.854228973388672,0.31567944710428786
2015-04-29,LC08_198024_20150429.tif,2015-04-29,2015/04/29,,1.0
2015-05-06,LC08_199024_20150506.tif,2015-05-06,2015/05/06,18.236682891845703,0.6565570635328876
2015-05-15,LC08_198024_20150515.tif,2015-05-15,2015/05/15,20.913496017456055,0.8993128371516375
2015-05-22,LC08_199024_20150522.tif,2015-05-22,2015/05/22,16.54943084716797,0.8374352075337317
2015-06-07,LC08_199024_20150607.tif,2015-06-07,2015/06/07,25.813608169555664,0.5631306136984133
2015-07-02,LC08_198024_20150702.tif,2015-07-02,2015/07/02,34.025875091552734,0.7689332489217742
2015-07-09,LC08_199024_20150709.tif,2015-07-09,2015/07/09,20.64996910095215,0.7798671836874662
2015-07-18,LC08_198024_20150718.tif,2015-07-18,2015/07/18,24.58782386779785,0.7242215012068215
2015-08-03,LC08_198024_20150803.tif,2015-08-03,2015/08/03,30.95294761657715,0.04057360292275023
2015-08-10,LC08_199024_20150810.tif,2015-08-10,2015/08/10,,1.0
2015-08-19,LC08_198024_20150819.tif,2015-08-19,2015/08/19,21.7884464263916,0.7796363708305306
2015-08-26,LC08_199024_20150826.tif,2015-08-26,2015/08/26,16.86077308654785,0.8295776784183384
2015-09-04,LC08_198024_20150904.tif,2015-09-04,2015/09/04,16.282649993896484,0.9425144093169259
2015-09-11,LC08_199024_20150911.tif,2015-09-11,2015/09/11,21.244749069213867,0.0450381830411902
2015-09-20,LC08_198024_20150920.tif,2015-09-20,2015/09/20,16.979639053344727,0.8842902174916578
2015-09-27,LC08_199024_20150927.tif,2015-09-27,2015/09/27,18.468425750732422,0.045160184122713304
2015-10-13,LC08_199024_20151013.tif,2015-10-13,2015/10/13,,1.0
2015-10-29,LC08_199024_20151029.tif,2015-10-29,2015/10/29,15.47901439666748,0.1598972553053984
2015-11-23,LC08_198024_20151123.tif,2015-11-23,2015/11/23,3.90102219581604,0.648844616784711
2015-12-09,LC08_198024_20151209.tif,2015-12-09,2015/12/09,8.531635284423828,0.09232514277423864
2016-01-10,LC08_198024_20160110.tif,2016-01-10,2016/01/10,6.306469440460205,0.5765968952373416
2016-01-26,LC08_198024_20160126.tif,2016-01-26,2016/01/26,8.922183990478516,0.9540814307759269
2016-02-11,LC08_198024_20160211.tif,2016-02-11,2016/02/11,5.060482025146484,0.7711655389809942
2016-02-27,LC08_198024_20160227.tif,2016-02-27,2016/02/27,7.090221405029297,0.007372822115828486
2016-03-14,LC08_198024_20160314.tif,2016-03-14,2016/03/14,10.259644508361816,0.005206478587161529
2016-03-30,LC08_198024_20160330.tif,2016-03-30,2016/03/30,11.480987548828125,0.950892916023688
2016-05-01,LC08_198024_20160501.tif,2016-05-01,2016/05/01,17.481529235839844,0.4019704823329245
2016-05-17,LC08_198024_20160517.tif,2016-05-17,2016/05/17,22.05390739440918,0.8052862738891307
2016-06-18,LC08_198024_20160618.tif,2016-06-18,2016/06/18,,1.0
2016-07-04,LC08_198024_20160704.tif,2016-07-04,2016/07/04,23.459678649902344,0.9538506179189913
2016-07-20,LC08_198024_20160720.tif,2016-07-20,2016/07/20,35.349117279052734,0.19553146308972685
2016-08-05,LC08_198024_20160805.tif,2016-08-05,2016/08/05,21.643003463745117,0.9162413115445996
2016-09-06,LC08_198024_20160906.tif,2016-09-06,2016/09/06,25.718698501586914,0.9839519117899207
2016-09-13,LC08_199024_20160913.tif,2016-09-13,2016/09/13,31.889690399169922,0.022899932734538837
2016-09-22,LC08_198024_20160922.tif,2016-09-22,2016/09/22,,1.0
2016-10-08,LC08_198024_20161008.tif,2016-10-08,2016/10/08,16.818893432617188,0.12116685791160527
2016-10-15,LC08_199024_20161015.tif,2016-10-15,2016/10/15,,1.0
2016-10-24,LC08_198024_20161024.tif,2016-10-24,2016/10/24,,1.0
2016-10-31,LC08_199024_20161031.tif,2016-10-31,2016/10/31,14.551647186279297,0.03878315461823553
2016-11-16,LC08_199024_20161116.tif,2016-11-16,2016/11/16,,1.0
2016-11-25,LC08_198024_20161125.tif,2016-11-25,2016/11/25,3.8950235843658447,0.629492607393925
2016-12-02,LC08_199024_20161202.tif,2016-12-02,2016/12/02,8.22146987915039,0.7301731755892322
2016-12-11,LC08_198024_20161211.tif,2016-12-11,2016/12/11,,1.0
2017-01-12,LC08_198024_20170112.tif,2017-01-12,2017/01/12,3.439210891723633,0.5512602381988684
2017-01-19,LC08_199024_20170119.tif,2017-01-19,2017/01/19,1.372633457183838,0.4446576715598992
2017-01-28,LC08_198024_20170128.tif,2017-01-28,2017/01/28,,1.0
2017-02-04,LC08_199024_20170204.tif,2017-02-04,2017/02/04,,1.0
2017-02-13,LC08_198024_20170213.tif,2017-02-13,2017/02/13,4.577822685241699,0.04302021920626756
2017-03-01,LC08_198024_20170301.tif,2017-03-01,2017/03/01,8.90235710144043,0.9591164483836505
2017-03-17,LC08_198024_20170317.tif,2017-03-17,2017/03/17,,1.0
2017-03-24,LC08_199024_20170324.tif,2017-03-24,2017/03/24,15.18077278137207,0.04405228240942244
2017-04-02,LC08_198024_20170402.tif,2017-04-02,2017/04/02,18.54196548461914,0.5707078700589562
2017-04-09,LC08_199024_20170409.tif,2017-04-09,2017/04/09,24.269975662231445,0.1033283213970113
2017-04-18,LC08_198024_20170418.tif,2017-04-18,2017/04/18,15.809178352355957,0.731508592832931
2017-04-25,LC08_199024_20170425.tif,2017-04-25,2017/04/25,13.524229049682617,0.7049090597343673
2017-05-04,LC08_198024_20170504.tif,2017-05-04,2017/05/04,,1.0
2017-05-11,LC08_199024_20170511.tif,2017-05-11,2017/05/11,25.50551414489746,0.9493662538413854
2017-05-20,LC08_198024_20170520.tif,2017-05-20,2017/05/20,18.519113540649414,0.9123240876297498
2017-05-27,LC08_199024_20170527.tif,2017-05-27,2017/05/27,36.5585823059082,0.005598860443952043
2017-06-05,LC08_198024_20170605.tif,2017-06-05,2017/06/05,25.432619094848633,0.5813549374167425
2017-06-21,LC08_198024_20170621.tif,2017-06-21,2017/06/21,18.890499114990234,0.7363457708489957
2017-07-07,LC08_198024_20170707.tif,2017-07-07,2017/07/07,28.287565231323242,0.33933776494018647
2017-07-14,LC08_199024_20170714.tif,2017-07-14,2017/07/14,-9.099382400512695,0.9999703240612512
2017-07-23,LC08_198024_20170723.tif,2017-07-23,2017/07/23,,1.0
2017-07-30,LC08_199024_20170730.tif,2017-07-30,2017/07/30,16.789440155029297,0.990503699600364
2017-08-15,LC08_199024_20170815.tif,2017-08-15,2017/08/15,17.965089797973633,0.6248038090716047
2017-08-24,LC08_198024_20170824.tif,2017-08-24,2017/08/24,23.64008140563965,0.7161001859692162
2017-08-31,LC08_199024_20170831.tif,2017-08-31,2017/08/31,19.92532730102539,0.5554478428889856
2017-09-09,LC08_198024_20170909.tif,2017-09-09,2017/09/09,,1.0
2017-09-16,LC08_199024_20170916.tif,2017-09-16,2017/09/16,,1.0
2017-09-25,LC08_198024_20170925.tif,2017-09-25,2017/09/25,,1.0
2017-10-02,LC08_199024_20171002.tif,2017-10-02,2017/10/02,,1.0
2017-10-18,LC08_199024_20171018.tif,2017-10-18,2017/10/18,16.203035354614258,0.40144950474155555
2017-10-27,LC08_198024_20171027.tif,2017-10-27,2017/10/27,14.069878578186035,0.43498001820124244
2017-11-03,LC08_199024_20171103.tif,2017-11-03,2017/11/03,10.810981750488281,0.9999868106938894
2017-11-12,LC08_198024_20171112.tif,2017-11-12,2017/11/12,8.27712345123291,0.4827879555256598
2017-11-19,LC08_199024_20171119.tif,2017-11-19,2017/11/19,9.011528968811035,0.05684920666323745
2017-11-28,LC08_198024_20171128.tif,2017-11-28,2017/11/28,6.294338226318359,0.8688719186483599
2018-02-07,LC08_199024_20180207.tif,2018-02-07,2018/02/07,1.1633354425430298,0.21943708041519935
2018-02-16,LC08_198024_20180216.tif,2018-02-16,2018/02/16,7.653687477111816,0.025765309487067886
2018-02-23,LC08_199024_20180223.tif,2018-02-23,2018/02/23,3.2187070846557617,0.13620926153075086
2018-03-04,LC08_198024_20180304.tif,2018-03-04,2018/03/04,7.734431266784668,0.6743824107413708
2018-03-11,LC08_199024_20180311.tif,2018-03-11,2018/03/11,,1.0
2018-03-20,LC08_198024_20180320.tif,2018-03-20,2018/03/20,10.021624565124512,0.012806816233397961
2018-04-21,LC08_198024_20180421.tif,2018-04-21,2018/04/21,25.320032119750977,0.0189958981257996
2018-05-07,LC08_198024_20180507.tif,2018-05-07,2018/05/07,29.478361129760742,0.02821522309711286
2018-05-14,LC08_199024_20180514.tif,2018-05-14,2018/05/14,24.363855361938477,0.27426172859045883
2018-05-30,LC08_199024_20180530.tif,2018-05-30,2018/05/30,27.592220306396484,0.6642266450362047
2018-06-15,LC08_199024_20180615.tif,2018-06-15,2018/06/15,19.890905380249023,0.9487562484337699
2018-07-01,LC08_199024_20180701.tif,2018-07-01,2018/07/01,33.38773727416992,0.02102045661377755
2018-07-17,LC08_199024_20180717.tif,2018-07-17,2018/07/17,29.162519454956055,0.6959304395995727
2018-08-02,LC08_199024_20180802.tif,2018-08-02,2018/08/02,35.61821365356445,0.018643084187340904
2018-09-03,LC08_199024_20180903.tif,2018-09-03,2018/09/03,,1.0
2018-09-19,LC08_199024_20180919.tif,2018-09-19,2018/09/19,24.633665084838867,0.715922130336723
2018-10-05,LC08_199024_20181005.tif,2018-10-05,2018/10/05,21.014175415039062,0.01958941690077685
2018-10-21,LC08_199024_20181021.tif,2018-10-21,2018/10/21,14.044085502624512,0.9751612392672021
2018-11-06,LC08_199024_20181106.tif,2018-11-06,2018/11/06,11.032386779785156,0.18180469275511416
2018-11-22,LC08_199024_20181122.tif,2018-11-22,2018/11/22,,1.0
2018-12-08,LC08_199024_20181208.tif,2018-12-08,2018/12/08,-2.6344494819641113,0.9849971642991863
2019-01-09,LC08_199024_20190109.tif,2019-01-09,2019/01/09,,1.0
2019-01-18,LC08_198024_20190118.tif,2019-01-18,2019/01/18,0.2890224754810333,0.19428177633574698
2019-02-03,LC08_198024_20190203.tif,2019-02-03,2019/02/03,4.446122646331787,0.08089001437634366
2019-02-19,LC08_198024_20190219.tif,2019-02-19,2019/02/19,10.501420974731445,0.39328532425909074
2019-02-26,LC08_199024_20190226.tif,2019-02-26,2019/02/26,13.381919860839844,0.2728900407549559
2019-03-07,LC08_198024_20190307.tif,2019-03-07,2019/03/07,9.908116340637207,0.9606826784842849
2019-03-30,LC08_199024_20190330.tif,2019-03-30,2019/03/30,19.66910743713379,0.28581885806987695
2019-04-08,LC08_198024_20190408.tif,2019-04-08,2019/04/08,20.619638442993164,0.43266529497883116
2019-04-15,LC08_199024_20190415.tif,2019-04-15,2019/04/15,18.75459098815918,0.07184874503752357
2019-04-24,LC08_198024_20190424.tif,2019-04-24,2019/04/24,25.298070907592773,0.5722477215473694
2019-05-10,LC08_198024_20190510.tif,2019-05-10,2019/05/10,,1.0
2019-05-26,LC08_198024_20190526.tif,2019-05-26,2019/05/26,,1.0
2019-06-02,LC08_199024_20190602.tif,2019-06-02,2019/06/02,25.816301345825195,0.3712031285034094
2019-06-11,LC08_198024_20190611.tif,2019-06-11,2019/06/11,22.006235122680664,0.7864387554570754
2019-06-18,LC08_199024_20190618.tif,2019-06-18,2019/06/18,27.106117248535156,0.11773434099632019
2019-06-27,LC08_198024_20190627.tif,2019-06-27,2019/06/27,30.0760555267334,0.04481396483730991
2019-07-04,LC08_199024_20190704.tif,2019-07-04,2019/07/04,26.197635650634766,0.18571861934343634
2019-07-20,LC08_199024_20190720.tif,2019-07-20,2019/07/20,14.384063720703125,0.9996735646737626
2019-07-29,LC08_198024_20190729.tif,2019-07-29,2019/07/29,26.31074333190918,0.6552579168809929
2019-08-05,LC08_199024_20190805.tif,2019-08-05,2019/08/05,23.81585121154785,0.3899352405069969
2019-08-14,LC08_198024_20190814.tif,2019-08-14,2019/08/14,22.194185256958008,0.4916313852728208
2019-08-21,LC08_199024_20190821.tif,2019-08-21,2019/08/21,22.909948348999023,0.1418015273216476
2019-08-30,LC08_198024_20190830.tif,2019-08-30,2019/08/30,23.52458953857422,0.23782956778643877
2019-09-06,LC08_199024_20190906.tif,2019-09-06,2019/09/06,14.912054061889648,0.6179552618736728
2019-09-15,LC08_198024_20190915.tif,2019-09-15,2019/09/15,25.147722244262695,0.0188738970442765
2019-09-22,LC08_199024_20190922.tif,2019-09-22,2019/09/22,25.83302116394043,0.008708239359527295
2019-10-17,LC08_198024_20191017.tif,2019-10-17,2019/10/17,16.039501190185547,0.7341563460346351
2019-10-24,LC08_199024_20191024.tif,2019-10-24,2019/10/24,13.373948097229004,0.9304560862053047
2019-11-02,LC08_198024_20191102.tif,2019-11-02,2019/11/02,12.210732460021973,0.33081087853968005
2019-11-09,LC08_199024_20191109.tif,2019-11-09,2019/11/09,9.393643379211426,0.1005552697872565
2019-11-25,LC08_199024_20191125.tif,2019-11-25,2019/11/25,7.993479251861572,0.5629789366781414
2019-12-04,LC08_198024_20191204.tif,2019-12-04,2019/12/04,4.095495700836182,0.10929977973858795
2019-12-11,LC08_199024_20191211.tif,2019-12-11,2019/12/11,2.3513689041137695,0.9415812659096005
2020-01-21,LC08_198024_20200121.tif,2020-01-21,2020/01/21,,1.0
2020-01-28,LC08_199024_20200128.tif,2020-01-28,2020/01/28,1.4976086616516113,0.8266661390944222
2020-02-06,LC08_198024_20200206.tif,2020-02-06,2020/02/06,6.65639591217041,0.9751216713488703
2020-02-13,LC08_199024_20200213.tif,2020-02-13,2020/02/13,,1.0
2020-02-29,LC08_199024_20200229.tif,2020-02-29,2020/02/29,,1.0
2020-03-16,LC08_199024_20200316.tif,2020-03-16,2020/03/16,10.32326602935791,0.8189207190809692
2020-03-25,LC08_198024_20200325.tif,2020-03-25,2020/03/25,14.024253845214844,0.02326923330563579
2020-04-01,LC08_199024_20200401.tif,2020-04-01,2020/04/01,16.896991729736328,0.11293013624553212
2020-04-10,LC08_198024_20200410.tif,2020-04-10,2020/04/10,22.175439834594727,0.018145187881665546
2020-04-17,LC08_199024_20200417.tif,2020-04-17,2020/04/17,20.043254852294922,0.6486698584787455
2020-04-26,LC08_198024_20200426.tif,2020-04-26,2020/04/26,24.30860137939453,0.030140861789261265
2020-05-03,LC08_199024_20200503.tif,2020-05-03,2020/05/03,,1.0
2020-05-12,LC08_198024_20200512.tif,2020-05-12,2020/05/12,,1.0
2020-05-19,LC08_199024_20200519.tif,2020-05-19,2020/05/19,28.935821533203125,0.25902478270618184
2020-05-28,LC08_198024_20200528.tif,2020-05-28,2020/05/28,29.824506759643555,0.03244239570556193
